序号,text,entity_person,entity_place,entity_org
1,找能做【百度】【搜狗】快排的朋友,,,"搜狗,百度"
2,求购  朝鲜  高仿人民币,,朝鲜,
3,找佛山高明荷城业主信息,,"荷城,佛山,高明",
4,收个暗装支付宝相关的可测试,,,支付宝
5,高价收菠菜卡料，电信卡料。,,,电信
6,求购百度贴吧绑定手机号数据,,,百度
7,求购美团，饿了么外卖平台各城市代理电话,,,"饿了么,美团"
8,求购香港股民企业资源,,香港,
9,求购阿里内部管理人员联系方式,,,阿里
10,求购美团用户对商家的评论数据,,,美团
11,美国华人 数据 大量收,,美国,
12,收购淘宝女性客户老数据,,,淘宝
13,收购淘宝资料，大量收购。,,,淘宝
14,求购无痕破解腾讯QQ空间软件（链接）,,,腾讯
15,求购美国公民真实身份信息,,美国,
16,求购 安卓 麻将游戏  外挂 插件,,,安卓
17,求购一款iphone手机远控,,,iphone
18,出售  百度地图  谷歌地图上面所有数据,,,"谷歌,百度"
19,求购江苏地区快递数据,,江苏,
20,求购江苏镇江地区淘宝快递资料,,江苏,淘宝
21,求购母婴数据 淘宝女性购物数据,,,淘宝
22,求购韩国身份资料（四件套）,,韩国,
23,求交通银行信用卡激活方法,,,交通银行
24,求购广东省中小学学生数据,,广东,
25,一天300人民幣 台灣找內地合作夥伴,,台灣,
26,找一两个甘肃本地的合作不算黑产,,甘肃,
27,QQ 微信 支付宝好友信息提取,,,支付宝
28,三折美国航空机票，另有各类礼品卡,,美国,
29,出售百家乐书籍 看图,,,百家乐
30,圆通10亿条快递物流数据1BTC出售,,,圆通
31,出优酷数据库6000W.只要10BTC.,,,优酷
32,出售京东礼品卡1000面值数张,,,京东
33,京东买家信息，实时数据，日均2000万条,,,京东
34,京东买家信息，实时数据，长期供应,,,京东
35,出售京东E卡100面值1600张,,,京东
36,河北电信全省1600余万手机号信息,,河北,电信
37,收购东南亚数据【账号已删】,,东南亚,
38,本月再收徒弟三个，教亚马逊刷货，和收料,,,亚马逊
39,顺丰3亿条快递物流独家数据,,,顺丰
40,出中国电信实名制无限流量卡,,中国,电信
41,中国移动神卡：独家货源/永久套餐/已实名,,中国,移动
42,出售新鲜美国亚马逊礼品卡,,美国,亚马逊
43,出售少量东南亚和澳洲CVV,,"东南亚,澳洲",
44,出售交通银行信用卡申请单数据库,,,交通银行
45,辽宁沈阳 高端联系信息15万条,,"辽宁,沈阳",
46,机械设计手册（中国、德国、美国版）打包,,"中国,德国,美国",
47,出福建，山东，上海，浙江700来万数据,,"上海,山东,浙江,福建",
48,电脑百度云svip（无需安装）下载超快,,,百度
49,时时彩程序，迪士尼乐园源码,,,迪士尼
50,百丽鞋业老总吴毅民及家庭成员个人信息,吴毅民,,百丽鞋业
51,出售破解百度云盘分享链接密码软件,,,百度
52,出售高匿名美国手机号码-质量非凡,,美国,
53,[修改价格]浙江省1000w学籍数据出售,,浙江,
54,出售二代带磁条可刷身份证实体卡顺丰包邮,,,顺丰
55,"出售实名绑卡支付宝,V1 V2。支付宝",,,支付宝
56,出售美国驾照和英美护照psd模版,,美国,
57,出售最新欧美H游戏四部,,欧美,
58,出破解百度云盘加密链接密码,,,百度
59,"代过人脸识别认证,POS\支付宝等",,,支付宝
60,出1.5W条高材生数据(211院校毕业),,,211院校
61,本人上海经侦现出售几大金融理财公司数据,,上海,
62,河北电信全省手机用户信息(第二季度数据),,河北,电信
63,2018年carding亚马逊方法,,,亚马逊
64,高价求购亚马逊个人买家号,,,亚马逊
65,辦理出售一年期假德國緊急護照,,德國,
66,出售国内腾讯网易游戏各种外挂 不限时间,,,"网易,腾讯"
67,出售台湾精品一手CVV,,台湾,
68,(重开新帖)100张电信正常话卡，速来,,,电信
69,处理一条美国101料,,美国,
70,收徒，通道，拿卡技巧，亚马逊小额通道，等,,,亚马逊
71,出售 亚马逊刷礼品卡 刷手机技术,,,亚马逊
72,两个iphonex，一个小米MIX,,,"iphone,小米"
73,有没有想学亚马逊刷电子产品的,,,亚马逊
74,手把手教亚马逊，如有需要可视频操作,,,亚马逊
75,中国大陆地区未成年少女裸体视频资源,,中国,
76,中国部分地区楼凤交流论坛分享,,中国,
77,出售澳大利亚中央昆士兰大学学士学位学历,,澳大利亚,中央昆士兰大学
78,10套有效期内的美国护照扫描件 带SSN,,美国,
79,浙江某高校学生11k条信息数据独家数据,,浙江,
