,id,text,entity_person,entity_place,entity_org,label
0,1,找能做【百度】【搜狗】快排的朋友, , ,"搜狗,百度","['O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
1,2,求购朝鲜高仿人民币, ,朝鲜, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O']"
2,4,收个暗装支付宝相关的可测试, , ,支付宝,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
3,5,高价收菠菜卡料，电信卡料。, , ,电信,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O']"
4,6,求购百度贴吧绑定手机号数据, , ,百度,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,7,求购美团，饿了么外卖平台各城市代理电话, , ,"饿了么,美团","['O', 'O', 'B-ORG', 'E-ORG', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,8,求购香港股民企业资源, ,香港, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O']"
7,10,求购美团用户对商家的评论数据, , ,美团,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,12,收购淘宝女性客户老数据, , ,淘宝,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,13,收购淘宝资料，大量收购。, , ,淘宝,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,14,求购无痕破解腾讯QQ空间软件链接, , ,腾讯,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,15,求购美国公民真实身份信息, ,美国, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,16,求购安卓麻将游戏外挂插件, , ,安卓,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,17,求购一款iphone手机远控, , ,iphone,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O']"
14,18,出售百度地图谷歌地图上面所有数据, , ,"谷歌,百度","['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,19,求购江苏地区快递数据, ,江苏, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O']"
16,20,求购江苏镇江地区淘宝快递资料, ,江苏,淘宝,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O']"
17,21,求购母婴数据淘宝女性购物数据, , ,淘宝,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
18,24,求购广东省中小学学生数据, ,广东, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,26,找一两个甘肃本地的合作不算黑产, ,甘肃, ,"['O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,27,QQ微信支付宝好友信息提取, , ,支付宝,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
21,28,三折美国航空机票，另有各类礼品卡, ,美国, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,29,出售百家乐书籍看图, , ,百家乐,"['O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O']"
23,30,圆通10亿条快递物流数据1BTC出售, , ,圆通,"['B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,31,出优酷数据库6000W.只要10BTC., , ,优酷,"['O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,32,出售京东礼品卡1000面值数张, , ,京东,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,34,京东买家信息，实时数据，长期供应, , ,京东,"['B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,35,出售京东E卡100面值1600张, , ,京东,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,36,河北电信全省1600余万手机号信息, ,河北,电信,"['B-PL', 'E-PL', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,37,收购东南亚数据【账号已删】, ,东南亚, ,"['O', 'O', 'B-PL', 'I-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,38,本月再收徒弟三个，教亚马逊刷货，和收料, , ,亚马逊,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
31,39,顺丰3亿条快递物流独家数据, , ,顺丰,"['B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,40,出中国电信实名制无限流量卡, ,中国,电信,"['O', 'B-PL', 'E-PL', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,41,中国移动神卡独家货源永久套餐已实名, ,中国,移动,"['B-PL', 'E-PL', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,43,出售少量东南亚和澳洲CVV, ,"东南亚,澳洲", ,"['O', 'O', 'O', 'O', 'B-PL', 'I-PL', 'E-PL', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O']"
35,44,出售交通银行信用卡申请单数据库, , ,交通银行,"['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,45,辽宁沈阳高端联系信息15万条, ,"辽宁,沈阳", ,"['B-PL', 'E-PL', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,46,机械设计手册中国德国美国版打包, ,"中国,德国,美国", ,"['O', 'O', 'O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'B-PL', 'E-PL', 'B-PL', 'E-PL', 'O', 'O', 'O']"
38,47,出福建，山东，上海，浙江700来万数据, ,"上海,山东,浙江,福建", ,"['O', 'B-PL', 'E-PL', 'O', 'B-PL', 'E-PL', 'O', 'B-PL', 'E-PL', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,48,电脑百度云svip无需安装下载超快, , ,百度,"['O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,49,时时彩程序，迪士尼乐园源码, , ,迪士尼,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O']"
41,50,百丽鞋业老总吴毅民及家庭成员个人信息,吴毅民, ,百丽鞋业,"['B-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'B-PER', 'I-PER', 'E-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,51,出售破解百度云盘分享链接密码软件, , ,百度,"['O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,52,出售高匿名美国手机号码质量非凡, ,美国, ,"['O', 'O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,53,修改价格浙江省1000w学籍数据出售, ,浙江, ,"['O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,55,"出售实名绑卡支付宝,V1V2。支付宝", , ,支付宝,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG']"
46,56,出售美国驾照和英美护照psd模版, ,美国, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,57,出售最新欧美H游戏四部, ,欧美, ,"['O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O']"
48,58,出破解百度云盘加密链接密码, , ,百度,"['O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,59,"代过人脸识别认证,POS支付宝等", , ,支付宝,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O']"
50,61,本人上海经侦现出售几大金融理财公司数据, ,上海, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,63,2018年carding亚马逊方法, , ,亚马逊,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O']"
52,64,高价求购亚马逊个人买家号, , ,亚马逊,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O']"
53,65,辦理出售一年期假德國緊急護照, ,德國, ,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O']"
54,66,出售国内腾讯网易游戏各种外挂不限时间, , ,"网易,腾讯","['O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,67,出售台湾精品一手CVV, ,台湾, ,"['O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,68,重开新帖100张电信正常话卡，速来, , ,电信,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
57,71,出售亚马逊刷礼品卡刷手机技术, , ,亚马逊,"['O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,72,两个iphonex，一个小米MIX, , ,"iphone,小米","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O', 'O']"
59,76,中国部分地区楼凤交流论坛分享, ,中国, ,"['B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
60,77,出售澳大利亚中央昆士兰大学学士学位学历, ,澳大利亚,中央昆士兰大学,"['O', 'O', 'B-PL', 'I-PL', 'I-PL', 'E-PL', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
61,78,10套有效期内的美国护照扫描件带SSN, ,美国, ,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,80,安卓远控木马免杀, , ,安卓,"['B-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
63,81,查身份证名下的电信号码, , ,电信,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'E-ORG', 'O', 'O']"
64,82,2018美国walmart刷货攻略教程, ,美国,walmart,"['O', 'O', 'O', 'O', 'B-PL', 'E-PL', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
65,83,出美国PayPal一年账号带GV&SSN, ,美国,PayPal,"['O', 'B-PL', 'E-PL', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
